ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
F11	F12	83	380	312	56043	3.088856540187341e-108	2.985965959988056e-06	0.00010749477455957002
E78	I21	118	1892	256	56043	1.956970776104718e-102	2.985965959988056e-06	0.00011048074051955807
F19	F32	169	745	1589	56043	8.414441530482564e-101	2.985965959988056e-06	0.00011346670647954613
F10	F12	146	2934	312	56043	1.2144775202267933e-100	2.985965959988056e-06	0.00011645267243953419
F10	F19	214	2934	745	56043	3.8683995533565627e-97	2.985965959988056e-06	0.00011943863839952224
K85	K86	61	406	129	56043	6.7425286371838625e-96	2.985965959988056e-06	0.0001224246043595103
F32	F33	164	1589	751	56043	4.952314851985412e-95	2.985965959988056e-06	0.00012541057031949834
F32	F43	201	1589	1220	56043	6.0518330063325854e-93	2.985965959988056e-06	0.00012839653627948642
B18	F11	82	440	380	56043	7.0951538198857125e-93	2.985965959988056e-06	0.00013138250223947447
I84	K62	104	1086	346	56043	2.4906477659191174e-92	2.985965959988056e-06	0.00013436846819946252
F13	F19	102	467	745	56043	6.1354012604613216e-92	2.985965959988056e-06	0.0001373544341594506
F17	I25	135	2048	398	56043	2.9378154691645225e-91	2.985965959988056e-06	0.00014034040011943864
I26	I80	64	261	276	56043	2.859698630878623e-90	2.985965959988056e-06	0.0001433263660794267
F12	F13	77	312	467	56043	5.876041604019957e-90	2.985965959988056e-06	0.00014631233203941474
J32	J33	89	1167	222	56043	2.708770707873514e-89	2.985965959988056e-06	0.0001492982979994028
E66	F17	247	1535	2048	56043	3.9404758449332507e-88	2.985965959988056e-06	0.00015228426395939087
F11	F19	92	380	745	56043	2.674685963795745e-87	2.985965959988056e-06	0.00015527022991937891
F33	F60	99	751	518	56043	9.17492287102532e-83	2.985965959988056e-06	0.00015825619587936696
I42	I50	43	182	96	56043	1.5370694287470522e-82	2.985965959988056e-06	0.00016124216183935504
K60	K61	105	671	718	56043	1.6148087157117631e-80	2.985965959988056e-06	0.0001642281277993431
F17	I21	104	2048	256	56043	8.058928324669129e-80	2.985965959988056e-06	0.00016721409375933114
F10	G40	226	2934	1011	56043	4.000274665795951e-79	2.985965959988056e-06	0.0001702000597193192
M23	M24	146	2735	451	56043	3.625188538240156e-78	2.985965959988056e-06	0.00017318602567930724
F32	F60	124	1589	518	56043	8.861325001447e-77	2.985965959988056e-06	0.0001761719916392953
B94	F19	43	47	745	56043	1.0387012046704989e-76	2.985965959988056e-06	0.00017915795759928336
E66	K76	161	1535	979	56043	3.1952406822844787e-76	2.985965959988056e-06	0.0001821439235592714
M22	M23	90	160	2735	56043	2.0615645480240615e-74	2.985965959988056e-06	0.0001851298895192595
M23	M65	146	2735	482	56043	9.376480749170916e-74	2.985965959988056e-06	0.00018811585547924754
F17	I10	287	2048	2452	56043	7.41392977072187e-70	2.985965959988056e-06	0.0001911018214392356
K29	K76	169	1906	979	56043	4.128360690609724e-69	2.985965959988056e-06	0.00019408778739922364
M42	M51	80	152	2323	56043	1.1005428469932909e-68	2.985965959988056e-06	0.00019707375335921169
M17	M23	98	229	2735	56043	4.4123411736242273e-66	2.985965959988056e-06	0.00020005971931919976
F43	F60	102	1220	518	56043	1.7217159821661628e-65	2.985965959988056e-06	0.0002030456852791878
I10	K76	183	2452	979	56043	2.457740744427341e-63	2.985965959988056e-06	0.00020603165123917586
F13	F33	80	467	751	56043	7.235489841522031e-63	2.985965959988056e-06	0.00020901761719916394
F13	F17	117	467	2048	56043	8.384830619901656e-63	2.985965959988056e-06	0.00021200358315915199
F32	F41	117	1589	612	56043	4.9577242982253675e-61	2.985965959988056e-06	0.00021498954911914004
F11	F14	38	380	81	56043	8.207682797327884e-61	2.985965959988056e-06	0.00021797551507912808
M24	M65	66	451	482	56043	5.041251988295766e-60	2.985965959988056e-06	0.00022096148103911613
K80	K81	58	1030	153	56043	6.906747367262014e-60	2.985965959988056e-06	0.0002239474469991042
C62	C77	38	331	97	56043	2.225156386747687e-59	2.985965959988056e-06	0.00022693341295909226
F33	F43	112	751	1220	56043	1.1484448464156016e-58	2.985965959988056e-06	0.0002299193789190803
F17	F32	208	2048	1589	56043	3.5997139133306024e-58	2.985965959988056e-06	0.00023290534487906839
B94	F32	41	47	1589	56043	1.9798868423030513e-57	2.985965959988056e-06	0.00023589131083905643
C73	E89	24	95	42	56043	4.5832663315158025e-57	2.985965959988056e-06	0.00023887727679904448
C62	D40	38	331	111	56043	1.177774531427257e-56	2.985965959988056e-06	0.00024186324275903253
B18	F13	62	440	467	56043	3.3288828020843553e-56	2.985965959988056e-06	0.0002448492087190206
M42	M54	70	152	2284	56043	1.6299003311484333e-55	2.985965959988056e-06	0.00024783517467900863
E11	E14	50	562	195	56043	3.5622725504671454e-55	2.985965959988056e-06	0.0002508211406389967
K02	K08	35	204	138	56043	9.93215662293182e-55	2.985965959988056e-06	0.0002538071065989848
E10	H36	30	350	48	56043	1.363740950729787e-54	2.985965959988056e-06	0.00025679307255897283
I10	I21	88	2452	256	56043	7.898171681184503e-54	2.985965959988056e-06	0.0002597790385189609
I20	I25	45	202	398	56043	1.3554394111952746e-53	2.985965959988056e-06	0.00026276500447894893
F12	F14	33	312	81	56043	3.0036414289013143e-53	2.985965959988056e-06	0.000265750970438937
F13	F32	95	467	1589	56043	3.584472625480336e-52	2.985965959988056e-06	0.00026873693639892503
F33	F61	56	751	241	56043	5.681260162490377e-52	2.985965959988056e-06	0.0002717229023589131
N18	D64	38	258	184	56043	1.8790122382303196e-51	2.985965959988056e-06	0.0002747088683189012
B35	A46	34	86	376	56043	2.0700033587728153e-51	2.985965959988056e-06	0.00027769483427888923
F19	F60	73	745	518	56043	2.1510422808296117e-51	2.985965959988056e-06	0.0002806808002388773
F17	F19	131	2048	745	56043	5.188726028111408e-51	2.985965959988056e-06	0.00028366676619886533
F13	F60	61	467	518	56043	1.7648216490654752e-50	2.985965959988056e-06	0.0002866527321588534
I84	K60	93	1086	671	56043	2.757572014729269e-50	2.985965959988056e-06	0.00028963869811884143
I35	I71	23	95	59	56043	1.421649881865677e-49	2.985965959988056e-06	0.0002926246640788295
K21	K22	56	1179	178	56043	2.607947691632953e-49	2.985965959988056e-06	0.00029561063003881753
I85	K70	27	48	300	56043	2.862522542795002e-49	2.985965959988056e-06	0.0002985965959988056
F33	F41	76	751	612	56043	3.83688040288255e-49	2.985965959988056e-06	0.0003015825619587937
F19	F61	53	745	241	56043	4.704784801236033e-48	2.985965959988056e-06	0.00030456852791878173
K22	K29	64	178	1906	56043	1.690721483179859e-47	2.985965959988056e-06	0.0003075544938787698
C83	C85	19	46	53	56043	3.5637506263543763e-47	2.985965959988056e-06	0.00031054045983875783
G55	M54	65	162	2284	56043	6.1701346131286e-47	2.985965959988056e-06	0.0003135264257987459
N18	E21	25	258	48	56043	3.2265217789682607e-46	2.985965959988056e-06	0.00031651239175873393
F12	F17	82	312	2048	56043	4.837337678490694e-46	2.985965959988056e-06	0.000319498357718722
F10	K71	54	2934	90	56043	1.1181969398044428e-45	2.985965959988056e-06	0.0003224843236787101
F17	K70	80	2048	300	56043	1.8228566245420955e-45	2.985965959988056e-06	0.00032547028963869813
F11	F17	89	380	2048	56043	2.1334649412620297e-45	2.985965959988056e-06	0.0003284562555986862
J33	J34	78	222	2722	56043	2.1767895584893824e-45	2.985965959988056e-06	0.00033144222155867423
F13	F14	32	467	81	56043	2.4850122301966475e-45	2.985965959988056e-06	0.0003344281875186623
B18	B24	38	440	158	56043	4.5324636433802765e-45	2.985965959988056e-06	0.0003374141534786503
I85	K74	20	48	85	56043	5.952700503092881e-45	2.985965959988056e-06	0.0003404001194386384
F12	F19	55	312	745	56043	2.740880414977906e-44	2.985965959988056e-06	0.0003433860853986264
M23	M67	130	2735	640	56043	3.6209838302499097e-44	2.985965959988056e-06	0.0003463720513586145
G40	K70	60	1011	300	56043	6.442618174490341e-44	2.985965959988056e-06	0.0003493580173186026
E11	H36	28	562	48	56043	7.64324385878123e-44	2.985965959988056e-06	0.0003523439832785906
E11	K76	75	562	979	56043	1.2782364403346253e-42	2.985965959988056e-06	0.0003553299492385787
F17	K76	138	2048	979	56043	3.0515845625466344e-42	2.985965959988056e-06	0.0003583159151985667
K02	K04	30	204	166	56043	4.485254374352527e-42	2.985965959988056e-06	0.0003613018811585548
E14	H36	22	195	48	56043	6.091167075681337e-42	2.985965959988056e-06	0.0003642878471185428
E10	E14	36	350	195	56043	6.770411774564749e-42	2.985965959988056e-06	0.0003672738130785309
N18	N19	26	258	77	56043	8.997937293759851e-42	2.985965959988056e-06	0.000370259779038519
K29	K63	89	1906	452	56043	2.150814689617688e-41	2.985965959988056e-06	0.000373245744998507
E66	E79	70	1535	328	56043	4.0169754967875446e-41	2.985965959988056e-06	0.0003762317109584951
F11	B17	30	380	102	56043	1.0309412253701825e-40	2.985965959988056e-06	0.0003792176769184831
H35	H36	21	175	48	56043	1.4503104753075991e-40	2.985965959988056e-06	0.0003822036428784712
K01	K04	29	204	166	56043	3.1283198651438405e-40	2.985965959988056e-06	0.0003851896088384592
F17	F33	116	2048	751	56043	1.6251148367498917e-39	2.985965959988056e-06	0.00038817557479844727
F10	K76	163	2934	979	56043	1.798423139090817e-39	2.985965959988056e-06	0.0003911615407584353
M53	M54	75	283	2284	56043	2.8643112385718205e-39	2.985965959988056e-06	0.00039414750671842337
E10	E11	48	350	562	56043	3.4377728915952015e-39	2.985965959988056e-06	0.0003971334726784115
E79	I10	82	328	2452	56043	1.6991576520022235e-38	2.985965959988056e-06	0.0004001194386383995
F10	F61	76	2934	241	56043	3.2292445141697044e-38	2.985965959988056e-06	0.0004031054045983876
B20	B24	17	26	158	56043	5.640094300371657e-38	2.985965959988056e-06	0.0004060913705583756
D50	K50	33	158	424	56043	1.3674407377607465e-37	2.985965959988056e-06	0.00040907733651836367
K29	K52	116	1906	842	56043	1.375851905664904e-37	2.985965959988056e-06	0.0004120633024783517
C77	C78	19	97	70	56043	3.0331332633532155e-37	2.985965959988056e-06	0.00041504926843833977
F19	F43	87	745	1220	56043	3.412168105241131e-37	2.985965959988056e-06	0.0004180352343983279
I10	I20	64	2452	202	56043	4.661582948157393e-37	2.985965959988056e-06	0.0004210212003583159
F10	K85	97	2934	406	56043	5.8494827798509635e-37	2.985965959988056e-06	0.00042400716631830397
I63	I64	19	179	42	56043	5.978749464066836e-37	2.985965959988056e-06	0.000426993132278292
K25	K29	54	172	1906	56043	9.799586454775778e-37	2.985965959988056e-06	0.00042997909823828007
I42	I48	32	182	349	56043	1.1741541870213187e-36	2.985965959988056e-06	0.0004329650641982681
M47	M51	63	208	2323	56043	1.4972808226587392e-36	2.985965959988056e-06	0.00043595103015825617
C71	D43	18	79	76	56043	7.011977710127377e-36	2.985965959988056e-06	0.0004389369961182442
K21	K76	96	1179	979	56043	7.469238388775334e-36	2.985965959988056e-06	0.00044192296207823227
M42	M47	26	152	208	56043	1.1689500848891597e-35	2.985965959988056e-06	0.00044490892803822037
F10	F63	55	2934	132	56043	2.409384407447679e-35	2.985965959988056e-06	0.0004478948939982084
N19	I10	41	77	2452	56043	3.443829944855023e-35	2.985965959988056e-06	0.00045088085995819647
M19	M75	42	327	506	56043	4.4009193092776255e-35	2.985965959988056e-06	0.0004538668259181845
I83	I87	31	1088	68	56043	6.191456695538573e-35	2.985965959988056e-06	0.00045685279187817257
F32	F45	62	1589	301	56043	9.15891082267014e-35	2.985965959988056e-06	0.0004598387578381606
K70	K76	51	300	979	56043	1.5791536720493022e-34	2.985965959988056e-06	0.00046282472379814867
K01	K09	21	204	73	56043	1.9357487340234387e-34	2.985965959988056e-06	0.00046581068975813677
F19	F20	66	745	731	56043	2.330249909532376e-34	2.985965959988056e-06	0.0004687966557181248
N17	N18	27	158	258	56043	2.3459745768386408e-34	2.985965959988056e-06	0.00047178262167811287
F13	F43	67	467	1220	56043	2.514231384456256e-34	2.985965959988056e-06	0.0004747685876381009
E73	E74	15	70	41	56043	3.464412006805415e-34	2.985965959988056e-06	0.00047775455359808897
K10	K12	20	71	176	56043	5.599847820524666e-34	2.985965959988056e-06	0.000480740519558077
I34	I42	22	104	182	56043	7.398080314127714e-34	2.985965959988056e-06	0.00048372648551806507
K04	K08	23	166	138	56043	9.848096244279835e-34	2.985965959988056e-06	0.0004867124514780531
F19	B17	31	745	102	56043	2.0723614124925815e-33	2.985965959988056e-06	0.0004896984174380412
F10	F11	89	2934	380	56043	2.591427784176132e-33	2.985965959988056e-06	0.0004926843833980292
F17	I20	56	2048	202	56043	3.358595292582373e-33	2.985965959988056e-06	0.0004956703493580173
E10	E16	20	350	43	56043	3.967093104560318e-33	2.985965959988056e-06	0.0004986563153180053
K70	K74	23	300	85	56043	6.244073191613224e-33	2.985965959988056e-06	0.0005016422812779934
E66	I25	67	1535	398	56043	1.0021277565992278e-32	2.985965959988056e-06	0.0005046282472379815
I47	I48	31	220	349	56043	2.0609598711480493e-32	2.985965959988056e-06	0.0005076142131979696
I26	J18	40	261	654	56043	3.246071852944709e-32	2.985965959988056e-06	0.0005106001791579576
K22	K44	35	178	662	56043	4.504984607438178e-32	2.985965959988056e-06	0.0005135861451179457
K29	K92	72	1906	389	56043	6.570658592544065e-32	2.985965959988056e-06	0.0005165721110779337
I10	I42	56	2452	182	56043	7.512318726857424e-32	2.985965959988056e-06	0.0005195580770379218
F43	F61	48	1220	241	56043	1.3867773011935712e-31	2.985965959988056e-06	0.0005225440429979098
I85	K76	25	48	979	56043	1.7803728224744292e-31	2.985965959988056e-06	0.0005255300089578979
K50	K56	34	424	266	56043	4.253104387030217e-31	2.985965959988056e-06	0.0005285159749178859
F17	J44	56	2048	220	56043	4.510494052748773e-31	2.985965959988056e-06	0.000531501940877874
F41	F45	40	612	301	56043	7.681876286230652e-31	2.985965959988056e-06	0.000534487906837862
E86	A09	29	100	751	56043	1.4418412982130325e-30	2.985965959988056e-06	0.0005374738727978501
F40	F41	25	75	612	56043	1.7509220847805195e-30	2.985965959988056e-06	0.0005404598387578381
F07	G40	32	104	1011	56043	1.8153663744209e-30	2.985965959988056e-06	0.0005434458047178262
H25	H33	21	149	147	56043	2.0493495753797722e-30	2.985965959988056e-06	0.0005464317706778142
F32	F61	52	1589	241	56043	2.0621207641701532e-30	2.985965959988056e-06	0.0005494177366378024
F12	F33	43	312	751	56043	4.3200865866459094e-30	2.985965959988056e-06	0.0005524037025977904
I63	I65	15	179	31	56043	5.789893134588167e-30	2.985965959988056e-06	0.0005553896685577785
K74	K76	29	85	979	56043	1.2480359074073088e-29	2.985965959988056e-06	0.0005583756345177665
F13	F41	46	467	612	56043	1.7507040735253227e-29	2.985965959988056e-06	0.0005613616004777546
F33	F63	31	751	132	56043	1.9101664599512057e-29	2.985965959988056e-06	0.0005643475664377426
D50	D64	22	158	184	56043	1.9168478739395356e-29	2.985965959988056e-06	0.0005673335323977307
F20	F25	35	731	192	56043	2.0975129807657422e-29	2.985965959988056e-06	0.0005703194983577187
F12	F60	37	312	518	56043	2.2035139842506538e-29	2.985965959988056e-06	0.0005733054643177068
F17	K29	176	2048	1906	56043	2.2974761834165864e-29	2.985965959988056e-06	0.0005762914302776948
D64	E87	22	184	163	56043	3.941369468436093e-29	2.985965959988056e-06	0.0005792773962376829
K01	K02	24	204	204	56043	4.3886283676063395e-29	2.985965959988056e-06	0.0005822633621976709
M25	M66	21	383	70	56043	5.516205924917425e-29	2.985965959988056e-06	0.000585249328157659
J03	J36	34	396	329	56043	6.053112259879031e-29	2.985965959988056e-06	0.000588235294117647
C78	C79	12	70	28	56043	1.5923164640731498e-28	2.985965959988056e-06	0.0005912212600776351
E79	K76	47	328	979	56043	1.6924338061773798e-28	2.985965959988056e-06	0.0005942072260376231
N47	N48	32	710	163	56043	1.8419316388425418e-28	2.985965959988056e-06	0.0005971931919976112
F60	F61	33	518	241	56043	2.14204251083961e-28	2.985965959988056e-06	0.0006001791579575993
B18	F32	66	440	1589	56043	2.362779060871371e-28	2.985965959988056e-06	0.0006031651239175874
N31	N39	21	81	351	56043	2.8630120257353088e-28	2.985965959988056e-06	0.0006061510898775754
K60	K62	41	671	346	56043	5.146449571366508e-28	2.985965959988056e-06	0.0006091370558375635
B18	F17	74	440	2048	56043	5.1995849794998245e-28	2.985965959988056e-06	0.0006121230217975515
K80	K85	52	1030	406	56043	5.991912459690567e-28	2.985965959988056e-06	0.0006151089877575396
F10	G62	44	2934	109	56043	7.199787528583488e-28	2.985965959988056e-06	0.0006180949537175276
K29	K80	113	1906	1030	56043	1.0747589608758352e-27	2.985965959988056e-06	0.0006210809196775157
K08	K12	20	138	176	56043	1.2621747012781916e-27	2.985965959988056e-06	0.0006240668856375037
F19	F33	59	745	751	56043	1.339318656731275e-27	2.985965959988056e-06	0.0006270528515974918
F14	F17	34	81	2048	56043	1.4964624765982523e-27	2.985965959988056e-06	0.0006300388175574798
F11	F33	44	380	751	56043	1.5403582305603149e-27	2.985965959988056e-06	0.0006330247835174679
F10	K74	39	2934	85	56043	2.0003541537636273e-27	2.985965959988056e-06	0.0006360107494774559
F13	F61	31	467	241	56043	2.9298070195496613e-27	2.985965959988056e-06	0.000638996715437444
M47	M54	53	208	2284	56043	2.957611285914727e-27	2.985965959988056e-06	0.000641982681397432
F17	K85	70	2048	406	56043	3.074574936510243e-27	2.985965959988056e-06	0.0006449686473574202
I34	I50	16	104	96	56043	3.456856804395111e-27	2.985965959988056e-06	0.0006479546133174082
H33	H35	20	147	175	56043	4.2499233732951985e-27	2.985965959988056e-06	0.0006509405792773963
I25	I50	22	398	96	56043	4.943635712852379e-27	2.985965959988056e-06	0.0006539265452373843
E78	I20	48	1892	202	56043	6.900042185675122e-27	2.985965959988056e-06	0.0006569125111973724
J18	J96	26	654	107	56043	7.33305912258615e-27	2.985965959988056e-06	0.0006598984771573604
I10	I48	70	2452	349	56043	8.903689424613001e-27	2.985965959988056e-06	0.0006628844431173485
M43	M51	41	119	2323	56043	9.203200482072734e-27	2.985965959988056e-06	0.0006658704090773365
E78	F32	144	1892	1589	56043	1.06727664887545e-26	2.985965959988056e-06	0.0006688563750373246
C62	C78	19	331	70	56043	1.2961315937480343e-26	2.985965959988056e-06	0.0006718423409973126
C73	E04	19	95	238	56043	1.3953275706416998e-26	2.985965959988056e-06	0.0006748283069573007
E78	K29	161	1892	1906	56043	1.9261420310421352e-26	2.985965959988056e-06	0.0006778142729172887
E11	I25	39	562	398	56043	1.9400762680285864e-26	2.985965959988056e-06	0.0006808002388772768
M16	M87	22	209	189	56043	2.1244449844231737e-26	2.985965959988056e-06	0.0006837862048372648
B21	B24	10	10	158	56043	2.3738771341320573e-26	2.985965959988056e-06	0.0006867721707972529
K26	K29	39	129	1906	56043	3.1057122211412606e-26	2.985965959988056e-06	0.0006897581367572409
F17	F60	78	2048	518	56043	3.246179821456781e-26	2.985965959988056e-06	0.000692744102717229
E21	I10	28	48	2452	56043	5.454568206750619e-26	2.985965959988056e-06	0.0006957300686772171
F10	F41	103	2934	612	56043	9.70980248006223e-26	2.985965959988056e-06	0.0006987160346372052
F12	F32	53	312	1589	56043	1.1700998202036762e-25	2.985965959988056e-06	0.0007017020005971932
I10	I11	27	2452	45	56043	1.4078711025851014e-25	2.985965959988056e-06	0.0007046879665571813
I42	I51	19	182	138	56043	1.4577649549841252e-25	2.985965959988056e-06	0.0007076739325171693
D69	K70	23	169	300	56043	1.6998942028297148e-25	2.985965959988056e-06	0.0007106598984771574
E78	I63	44	1892	179	56043	2.0340775838191579e-25	2.985965959988056e-06	0.0007136458644371454
B23	B24	13	33	158	56043	2.3413370226551265e-25	2.985965959988056e-06	0.0007166318303971335
F17	F41	84	2048	612	56043	2.5428197287037343e-25	2.985965959988056e-06	0.0007196177963571215
F33	F42	23	751	74	56043	2.6107850836794297e-25	2.985965959988056e-06	0.0007226037623171095
C18	C20	10	50	25	56043	3.951104169359543e-25	2.985965959988056e-06	0.0007255897282770976
I50	I51	16	96	138	56043	4.16614633432714e-25	2.985965959988056e-06	0.0007285756942370856
F13	B17	22	467	102	56043	7.136875836899755e-25	2.985965959988056e-06	0.0007315616601970737
M43	M53	20	119	283	56043	9.238918496287588e-25	2.985965959988056e-06	0.0007345476261570617
I84	K63	52	1086	452	56043	1.1576972532515113e-24	2.985965959988056e-06	0.0007375335921170498
I25	I42	25	398	182	56043	1.1875912856456987e-24	2.985965959988056e-06	0.000740519558077038
E11	F17	79	562	2048	56043	1.4571939796611398e-24	2.985965959988056e-06	0.000743505524037026
G47	I10	157	1478	2452	56043	1.577483242224797e-24	2.985965959988056e-06	0.000746491489997014
B24	F19	29	158	745	56043	1.891293622058171e-24	2.985965959988056e-06	0.0007494774559570021
F14	F19	23	81	745	56043	2.307325139689413e-24	2.985965959988056e-06	0.0007524634219169902
F43	F63	32	1220	132	56043	2.4689651664388697e-24	2.985965959988056e-06	0.0007554493878769782
M23	M25	74	2735	383	56043	2.7185829565597652e-24	2.985965959988056e-06	0.0007584353538369662
D68	I80	17	71	276	56043	2.9234823386719503e-24	2.985965959988056e-06	0.0007614213197969543
J18	J90	24	654	105	56043	3.328105813402456e-24	2.985965959988056e-06	0.0007644072857569423
I34	I48	20	104	349	56043	3.533724274304246e-24	2.985965959988056e-06	0.0007673932517169304
F06	F07	14	82	104	56043	4.571967281376038e-24	2.985965959988056e-06	0.0007703792176769184
F20	F23	32	731	217	56043	5.257765795408961e-24	2.985965959988056e-06	0.0007733651836369065
M51	M99	33	2323	84	56043	5.997741946575052e-24	2.985965959988056e-06	0.0007763511495968945
C43	C77	15	123	97	56043	7.252967012592756e-24	2.985965959988056e-06	0.0007793371155568826
M43	M54	38	119	2284	56043	8.32948109236101e-24	2.985965959988056e-06	0.0007823230815168706
E14	E78	44	195	1892	56043	8.716890142538416e-24	2.985965959988056e-06	0.0007853090474768587
I20	I21	22	202	256	56043	8.92767703986698e-24	2.985965959988056e-06	0.0007882950134368467
N39	G82	19	351	91	56043	1.0166988583864721e-23	2.985965959988056e-06	0.0007912809793968349
H25	H26	16	149	109	56043	1.313047372704175e-23	2.985965959988056e-06	0.000794266945356823
K44	K76	58	662	979	56043	1.394589059276231e-23	2.985965959988056e-06	0.000797252911316811
C73	C77	14	95	97	56043	1.47989309986967e-23	2.985965959988056e-06	0.000800238877276799
J35	J36	39	823	329	56043	1.6832811659380282e-23	2.985965959988056e-06	0.0008032248432367871
M24	M67	40	451	640	56043	2.3635903774765428e-23	2.985965959988056e-06	0.0008062108091967751
M50	M53	25	287	283	56043	2.471193025331501e-23	2.985965959988056e-06	0.0008091967751567632
D50	I84	32	158	1086	56043	2.899537070204198e-23	2.985965959988056e-06	0.0008121827411167512
I63	I67	16	179	96	56043	3.1335293941207775e-23	2.985965959988056e-06	0.0008151687070767393
K57	K63	36	499	452	56043	3.6153083729909556e-23	2.985965959988056e-06	0.0008181546730367273
M22	M94	20	160	253	56043	4.735525270267036e-23	2.985965959988056e-06	0.0008211406389967154
C71	G40	24	79	1011	56043	4.7870088666605533e-23	2.985965959988056e-06	0.0008241266049567034
I34	I36	10	104	20	56043	5.643194367269324e-23	2.985965959988056e-06	0.0008271125709166915
I10	I63	46	2452	179	56043	9.191881628102366e-23	2.985965959988056e-06	0.0008300985368766795
M24	M25	32	451	383	56043	1.1156362663699666e-22	2.985965959988056e-06	0.0008330845028366676
K29	K31	32	1906	100	56043	1.2114247421027057e-22	2.985965959988056e-06	0.0008360704687966557
M48	M51	34	98	2323	56043	1.480364367845853e-22	2.985965959988056e-06	0.0008390564347566438
H27	H33	12	38	147	56043	1.710814457952831e-22	2.985965959988056e-06	0.0008420424007166318
D69	D70	13	169	48	56043	1.8742257611391647e-22	2.985965959988056e-06	0.0008450283666766199
B20	B21	7	26	10	56043	2.289982484723794e-22	2.985965959988056e-06	0.0008480143326366079
M65	M67	40	482	640	56043	2.7385664794552637e-22	2.985965959988056e-06	0.000851000298596596
I10	I50	34	2452	96	56043	3.749163377575095e-22	2.985965959988056e-06	0.000853986264556584
E10	E78	56	350	1892	56043	4.522478960219532e-22	2.985965959988056e-06	0.0008569722305165721
C43	D22	15	123	126	56043	4.576189814786181e-22	2.985965959988056e-06	0.0008599581964765601
J86	J90	11	37	105	56043	4.774011376087136e-22	2.985965959988056e-06	0.0008629441624365482
H43	H33	12	41	147	56043	4.957816201591759e-22	2.985965959988056e-06	0.0008659301283965362
